method,case_key,center_id,H,K,budget_tier,test_wmse,test_mae,test_worst10
zero_top12_sgd_mse50_valbest,c1115_h1_k20_bmedium,1115,1,20,medium,0.019993981346488,0.11744797229766846,0.075223408639431
zero_top12_sgd_mse50_valbest,c1115_h4_k10_bmedium,1115,4,10,medium,0.01455953810364008,0.09929538518190384,0.04858870431780815
zero_top12_sgd_mse50_valbest,c1115_h4_k20_bmedium,1115,4,20,medium,0.02247464843094349,0.12423927336931229,0.07618739455938339
zero_top12_sgd_mse50_valbest,c1116_h1_k10_bmedium,1116,1,10,medium,0.002528122393414378,0.036596495658159256,0.015250707045197487
zero_top12_sgd_mse50_valbest,c1116_h1_k20_bmedium,1116,1,20,medium,0.002516847336664796,0.03633096069097519,0.015200507827103138
zero_top12_sgd_mse50_valbest,c1116_h4_k10_bmedium,1116,4,10,medium,0.002839386695995927,0.040039606392383575,0.015367809683084488
zero_top12_sgd_mse50_valbest,c1116_h4_k20_bmedium,1116,4,20,medium,0.0028006350621581078,0.039188552647829056,0.015645088627934456
zero_top12_sgd_mse50_valbest,c1117_h1_k10_bmedium,1117,1,10,medium,0.016930440440773964,0.10707578808069229,0.06436647474765778
zero_top12_sgd_mse50_valbest,c1117_h1_k20_bmedium,1117,1,20,medium,0.01931610144674778,0.11519236862659454,0.07121488451957703
zero_top12_sgd_mse50_valbest,c1117_h4_k10_bmedium,1117,4,10,medium,0.02652406133711338,0.13545216619968414,0.0852670967578888
zero_top12_sgd_mse50_valbest,c1117_h4_k20_bmedium,1117,4,20,medium,0.02856435440480709,0.14301006495952606,0.08937933295965195
zero_top12_sgd_mse50_valbest,c1118_h1_k10_bmedium,1118,1,10,medium,0.007288803346455097,0.06933284550905228,0.02951219491660595
zero_top12_sgd_mse50_valbest,c1118_h1_k20_bmedium,1118,1,20,medium,0.006064524408429861,0.06295395642518997,0.024119017645716667
zero_top12_sgd_mse50_valbest,c1118_h4_k10_bmedium,1118,4,10,medium,0.007661923300474882,0.07083650678396225,0.027179747819900513
zero_top12_sgd_mse50_valbest,c1118_h4_k20_bmedium,1118,4,20,medium,0.006212439388036728,0.06405704468488693,0.022466570138931274
zero_top12_sgd_mse50_valbest,c1119_h1_k10_bmedium,1119,1,10,medium,0.005837865173816681,0.06203393638134003,0.02378378063440323
zero_top12_sgd_mse50_valbest,c1119_h1_k20_bmedium,1119,1,20,medium,0.0069960858672857285,0.06713199615478516,0.028638692572712898
zero_top12_sgd_mse50_valbest,c1119_h4_k10_bmedium,1119,4,10,medium,0.006790637969970703,0.06586812436580658,0.02592630498111248
zero_top12_sgd_mse50_valbest,c1119_h4_k20_bmedium,1119,4,20,medium,0.008590981364250183,0.07377692312002182,0.035865169018507004
common12_sgd_mse50_valbest,c1100_h1_k10_btight,1100,1,10,tight,0.0064775170758366585,0.06537272781133652,0.026051204651594162
common12_sgd_mse50_valbest,c1100_h1_k20_btight,1100,1,20,tight,0.006152208428829908,0.0637534037232399,0.02548191510140896
common12_sgd_mse50_valbest,c1100_h4_k10_btight,1100,4,10,tight,0.00681077828630805,0.06587303429841995,0.02518211305141449
common12_sgd_mse50_valbest,c1100_h4_k20_btight,1100,4,20,tight,0.006864331196993589,0.06613810360431671,0.02547389641404152
common12_sgd_mse50_valbest,c1101_h1_k10_bmedium,1101,1,10,medium,0.002417460549622774,0.040777795016765594,0.008943131193518639
common12_sgd_mse50_valbest,c1101_h1_k20_bmedium,1101,1,20,medium,0.0025546082761138678,0.0414939820766449,0.009793831035494804
